iter	Logloss
0	0.6814606361
1	0.6694732333
2	0.6607560263
3	0.6515279169
4	0.6441714122
5	0.6342931716
6	0.6255754043
7	0.6175083985
8	0.6110961004
9	0.6042089676
10	0.5974150508
11	0.5905443762
12	0.5839674967
13	0.5785546973
14	0.5729246506
15	0.5678643354
16	0.5631459992
17	0.5597685454
18	0.5560322344
19	0.551920748
20	0.5480563087
21	0.5439518958
22	0.5406769377
23	0.536975714
24	0.5328309611
25	0.5288555169
26	0.5259056595
27	0.5234725873
28	0.5207118933
29	0.5183558943
30	0.5162025053
31	0.5140545091
32	0.5117321266
33	0.5093742016
34	0.5061903235
35	0.503958776
36	0.501939013
37	0.4989163546
38	0.4969703031
39	0.4947586454
40	0.4928388218
41	0.4916038316
42	0.4902887919
43	0.4879184357
44	0.4866173679
45	0.4851011188
46	0.4831397997
47	0.4817360962
48	0.4798067129
49	0.4781620903
50	0.4768247096
51	0.4758955955
52	0.4742517783
53	0.4729015112
54	0.4721362431
55	0.4710527728
56	0.4703295954
57	0.4692107577
58	0.4682067066
59	0.4670173789
60	0.4657956603
61	0.4649189672
62	0.4640326092
63	0.4629749467
64	0.4621098792
65	0.4606421641
66	0.4597686225
67	0.4590508028
68	0.4578472932
69	0.4569397498
70	0.4557131988
71	0.4548003678
72	0.453912259
73	0.4531713629
74	0.45245708
75	0.4515999965
76	0.450882492
77	0.4504010742
78	0.449741033
79	0.4491990703
80	0.4484744923
81	0.4477006099
82	0.4469223154
83	0.4462331749
84	0.445628181
85	0.444974513
86	0.4439791112
87	0.4430651246
88	0.4425178392
89	0.4419409992
90	0.4413469307
91	0.4407887549
92	0.4401725905
93	0.4396342345
94	0.4390208014
95	0.4384609798
96	0.4376777478
97	0.4372366349
98	0.4367598393
99	0.436202714
100	0.4355319926
101	0.4346835234
102	0.4341568982
103	0.4336175968
104	0.4331013717
105	0.4326033206
106	0.4321659195
107	0.4317262073
108	0.4311931389
109	0.430697469
110	0.4302758257
111	0.4295472907
112	0.429238263
113	0.4289176796
114	0.4282832712
115	0.4280226374
116	0.4275674825
117	0.427283107
118	0.4268993874
119	0.4263939127
120	0.4261102726
121	0.4258593386
122	0.4254886454
123	0.425196391
124	0.4249942712
125	0.4246837377
126	0.4243616836
127	0.4237364847
128	0.4233432754
129	0.4230354383
130	0.4227217534
131	0.4223590792
132	0.4219745892
133	0.4216980576
134	0.4214705852
135	0.4209997426
136	0.4208262318
137	0.4200022047
138	0.4197067987
139	0.4195264947
140	0.4192868362
141	0.4189760577
142	0.4186890559
143	0.4182250766
144	0.417920216
145	0.4176077917
146	0.4173175332
147	0.4170383753
148	0.4167182472
149	0.4161112222
150	0.4158165166
151	0.4155793094
152	0.4153475999
153	0.4151396322
154	0.41483169
155	0.4146235472
156	0.4144292712
157	0.4139867226
158	0.4134384217
159	0.4129748626
160	0.4127194814
161	0.4124689327
162	0.4122716802
163	0.4119419223
164	0.4117292272
165	0.4115675873
166	0.4111810313
167	0.4109198723
168	0.4107286428
169	0.4102443185
170	0.4100802274
171	0.4098998533
172	0.4096275938
173	0.4094025026
174	0.4092094872
175	0.4091561559
176	0.4089551215
177	0.4086976043
178	0.4084280761
179	0.4082584874
180	0.4080779732
181	0.4079141272
182	0.4074474516
183	0.4071948718
184	0.4070059535
185	0.4067587314
186	0.406484756
187	0.4061906107
188	0.4060396161
189	0.4058791668
190	0.4055142165
191	0.4053326868
192	0.4051941233
193	0.4050034541
194	0.4048669216
195	0.4046962823
196	0.4044601257
197	0.4043640382
198	0.4042410924
199	0.4040723441
200	0.4038385686
201	0.4036150181
202	0.4033043096
203	0.4031274372
204	0.4029513702
205	0.402793162
206	0.4026397162
207	0.4024911028
208	0.4023588425
209	0.4021969225
210	0.4020760777
211	0.4019230171
212	0.4017411723
213	0.4015824739
214	0.4014665316
215	0.401287173
216	0.4012435414
217	0.4010022722
218	0.4008361151
219	0.4004217204
220	0.4003252827
221	0.4001767393
222	0.3999335792
223	0.3997806936
224	0.3996676578
225	0.3994694949
226	0.3993315617
227	0.3992244788
228	0.3989437101
229	0.3986454327
230	0.3984703462
231	0.3983507271
232	0.3982258554
233	0.3980170823
234	0.3979135711
235	0.397668485
236	0.397464019
237	0.3973210084
238	0.3971333857
239	0.3969890443
240	0.3967768745
241	0.3966703869
