iter	Passed	Remaining
0	4	4721
1	10	5444
2	15	5095
3	18	4664
4	21	4266
5	24	4053
6	27	3862
7	30	3738
8	47	5228
9	50	4958
10	52	4757
11	55	4591
12	58	4446
13	61	4320
14	64	4241
15	68	4191
16	71	4124
17	74	4069
18	76	3973
19	80	3927
20	84	3939
21	87	3891
22	90	3857
23	93	3819
24	98	3823
25	102	3825
26	105	3803
27	108	3770
28	113	3795
29	116	3767
30	119	3741
31	122	3713
32	126	3714
33	131	3724
34	134	3704
35	137	3687
36	142	3698
37	145	3675
38	148	3655
39	151	3636
40	155	3629
41	158	3607
42	163	3639
43	167	3642
44	171	3637
45	174	3620
46	178	3622
47	182	3613
48	186	3612
49	190	3619
50	194	3624
51	199	3641
52	203	3634
53	207	3635
54	213	3664
55	218	3676
56	222	3687
57	226	3685
58	230	3683
59	234	3676
60	239	3691
61	243	3679
62	247	3673
63	251	3683
64	255	3675
65	259	3668
66	263	3666
67	266	3653
68	270	3653
69	274	3642
70	278	3643
71	282	3638
72	287	3647
73	290	3636
74	293	3624
75	297	3614
76	302	3624
77	306	3623
78	309	3610
79	312	3594
80	316	3585
81	319	3579
82	324	3579
83	327	3571
84	331	3566
85	334	3560
86	337	3545
87	340	3530
88	344	3529
89	348	3518
90	351	3510
91	354	3502
92	357	3489
93	361	3486
94	365	3478
95	368	3470
96	372	3466
97	375	3456
98	379	3452
99	382	3441
100	385	3432
101	390	3433
102	393	3423
103	396	3413
104	400	3412
105	404	3408
106	407	3398
107	410	3393
108	414	3384
109	416	3373
110	421	3373
111	424	3366
112	428	3366
113	432	3360
114	436	3356
115	439	3346
116	442	3338
117	446	3334
118	449	3329
119	453	3322
120	456	3314
121	459	3304
122	463	3301
123	466	3293
124	469	3287
125	473	3283
126	476	3272
127	479	3269
128	483	3263
129	486	3258
130	490	3251
131	493	3242
132	496	3239
133	500	3236
134	504	3229
135	507	3221
136	510	3215
137	513	3206
138	516	3197
139	520	3195
140	523	3187
141	526	3179
142	529	3176
143	533	3171
144	536	3165
145	541	3165
146	543	3156
147	546	3147
148	550	3141
149	552	3133
150	556	3127
151	561	3131
152	564	3125
153	568	3120
154	571	3113
155	574	3106
156	577	3101
157	580	3093
158	583	3086
159	586	3080
160	590	3075
161	593	3069
162	598	3072
163	601	3065
164	605	3061
165	608	3055
