CryoSlept,NoCryoSleep,RoomService,Spa,VRDeck,TotalSpent,Europa,Earth,B,InGroup,55 Cancri e,C,S,P,E,TRAPPIST-1e,Transported
0,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,1,0
0,1,109.0,549.0,44.0,736.0,0,1,0,0,0,0,1,0,0,1,1
0,1,43.0,6715.0,49.0,10383.0,1,0,0,1,0,0,1,0,0,1,0
0,1,0.0,3329.0,193.0,5176.0,1,0,0,1,0,0,1,0,0,1,0
0,1,303.0,565.0,2.0,1091.0,0,1,0,0,0,0,1,0,0,1,1
0,1,0.0,291.0,0.0,774.0,0,1,0,0,0,0,0,1,0,0,1
0,1,42.0,0.0,0.0,1584.0,0,1,0,1,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0,1,1
0,1,0.0,216.0,0.0,1018.0,0,1,0,0,0,0,1,0,0,1,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,1
1,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,0,1,1
0,1,39.0,110.0,124.0,8157.0,1,0,1,1,1,0,0,1,0,0,1
0,1,73.0,0.0,113.0,1309.0,0,0,0,0,0,0,0,1,0,1,1
0,1,719.0,0.0,24.0,809.0,0,1,0,0,0,0,1,0,0,1,0
0,1,8.0,2.0,7.0,1003.0,0,1,0,0,0,0,0,1,0,1,1
0,1,32.0,0.0,0.0,908.0,0,1,0,0,0,0,1,0,0,1,0
0,1,1286.0,0.0,0.0,1408.0,0,0,0,0,1,0,0,1,0,0,0
0,1,0.0,0.0,637.0,638.0,0,1,0,0,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,1
0,1,412.0,0.0,679.0,1092.0,0,1,0,1,1,0,0,1,0,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,1,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,1,0,1,0,0
1,0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,1,0,1,0,0
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,1,1
1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0
0,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,1,0
0,1,980.0,0.0,0.0,1051.0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,1,1
0,1,0.0,998.0,0.0,1223.0,0,1,0,0,0,0,1,0,0,1,0
0,1,22.0,1438.0,328.0,7861.0,1,0,0,0,1,1,0,1,0,0,0
0,1,1125.0,48.0,0.0,1309.0,0,0,0,0,0,0,0,1,0,1,0
0,1,0.0,437.0,453.0,1821.0,0,1,0,0,0,0,1,0,0,1,0
0,1,214.0,0.0,1229.0,2854.0,0,0,0,1,0,0,0,1,0,1,1
0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,1
